doi,title,first_author,year,journal,cited_by_count,abstract,source_count,in_v1
10.1787/286dae5d-en,Climate Finance Provided and Mobilised by Developed Countries in 2016-2020,OECD,2022.0,Climate finance and the USD 100 billion goal,33.0,"At the 15th Conference of Parties (COP15) of the UNFCCC in Copenhagen in 2009, developed countries committed to a collective goal of mobilising USD 100 billion per year by 2020 for climate action in developing countries, in the context of meaningful mitigation actions and transparency on implementation (UNFCCC, 2009[1]). The goal was formalised in the Cancun Agreements adopted at COP16 (UNFCCC, 2010[2]). At COP21 in Paris, the annual USD 100 billion goal was extended to 2025 (UNFCCC, 2015[3]).",1,True
10.1080/17565529.2015.1040368,Perspectives on the Green Climate Fund: possible compromises on capitalization and balanced allocation,Mathias Fridahl,2015.0,Climate and Development,32.0,"Finance is at the heart of UN climate diplomacy. Through the long-term finance pledge, developed countries have committed to mobilize USD 100 billion annually from 2020 onwards to support climate action in developing countries. The Green Climate Fund (GCF) is also expected to become a key player in the climate finance landscape. This viewpoint presents the views of representatives of developed and developing countries’ governments on how the annual sum of USD 100 billion should be dispensed by the GCF, based on a survey conducted at the 2013 UN Climate Change Conference in Warsaw. Respondents’ give their views on (1) the mitigation/adaptation ratio in GCF support and (2) the public/private ratio in financial sources. Respondents from developing countries would prefer to channel a substantially higher amount of the long-term finance pledge through the GCF. The extent to which the long-term finance pledge should be governed by the GCF is contentious, because governments pledge long-term finance without specifying the mitigation/adaptation ratio, whereas the GCF Board is tasked with balancing the allocation of its funds between adaptation and mitigation. This contention is fuelled by the fact that developing countries have a greater say in the allocation of funds from the GCF than from alternative sources of finance for the long-term finance pledge. We suggest that it is time to (1) reformulate the pledge to clarify its mitigation/adaptation ratio and (2) agree to definitions of key concepts such as “climate finance” and “private finance” to allow for more distinct negotiating positions on sources of finance.",2,True
10.1080/14693062.2022.2080634,Definitions and accounting of climate finance: between divergence and constructive ambiguity,Igor Shishlov,2022.0,Climate Policy,32.0,"The Paris Agreement reaffirmed the commitment to provide USD 100 billion in international climate finance to developing countries by 2020, while COP26 agreed to set a new target by the end of 2024. However, in the absence of a clear, internationally accepted definition of climate finance, the estimates of the progress towards this objective wildly differ. This article provides an overview of different issues related to diverging definitions of climate finance, its main dimensions and proposes to distinguish between counting methods (e.g. Rio markers) and accounting frameworks of climate finance (e.g. by the OECD). We start by reviewing the existing definitions of climate finance both under the UNFCCC and beyond, followed by a discussion of the key dimensions of climate finance that affect definitions, as well as the main climate finance accounting approaches. In the context of the Paris Agreement, attaining a consensus among Parties on the definition of climate finance is crucial, but may result in watering down the level of ambition, for example, by including finance to activities that may not be in line with the latest climate science. Such convergence would require resolving all controversial dimensions of climate finance discussed in this article – notably, provider versus recipient side perspectives, eligible activities, inclusion of controversial sectors and technologies, public versus private finance, climate versus development finance, accounting for negative climate finance and so on. As most likely not all issues can be resolved through a consensual multilateral process, some level of ‘constructive ambiguity’ may be required in defining and accounting for international climate finance.Key policy insights There is no commonly accepted definition of international climate finance today, making it difficult to track progress.Climate finance accounting approaches differ depending on the interpretation of different dimensions of climate finance.A commonly accepted definition of climate finance should take into account the latest science on 1.5°C and net-zero scenarios.Climate clubs or coalitions may take up the issue of ‘muddled’ counting methods and accounting frameworks of international climate finance in ‘side deals’ of official negotiations.The Standing Committee on Finance is best positioned to authoritatively perform regular accounting for finance flows eligible under international climate commitments.",2,True
,Climate finance additionality: emerging definitions and their implications,Jessica Brown,2010.0,,32.0,"The Copenhagen Accord calls for a collective commitment by developed countries to provide ‘new and additional resources...approaching USD 30 billion for the period 20102012 with balanced allocation between adaptation and mitigation... [and] in the context of meaningful mitigation actions and transparency on implementation, developed countries commit to a goal of mobilizing jointly USD 100 billion dollars a year by 2020 to address the needs of developing countries.’ Rapid and successful deployment of this international public finance is a critical first step in allowing developing countries to adapt to climate change and pursue actions that will allow them to move onto a low carbon development pathway. However, it remains unclear (1) how additionality is defined in the Copenhagen Accord when it promises ‘new and additional resources’; and (2) how such large sums of money are going to be raised. These considerations remain elusive in the Accord, but are fundamental to ensuring that financial commitments are met and secured in such a way that international public funds are not diverted away from long-term commitments to support development in poor countries. Therefore, further reflection is needed around how ‘new and additional’ is being defined and what this implies for developing countries.",2,True
10.1088/1748-9326/ab443b,A dynamic climate finance allocation mechanism reflecting the Paris Agreement,Florian Egli,2019.0,Environmental Research Letters,28.0,"Abstract Reaching the goal of the Paris Agreement requires substantial investment. The developed country parties have agreed to provide USD$100 billion in climate finance annually from 2020 to 2025. Ongoing negotiations on post-2025 commitments are likely to exceed that sum and include a broader scope of parties. However, there is no guidance regarding the allocation of contributions. Here, we develop a dynamic mechanism based on two conventional pillars of a burden sharing mechanism: emission responsibility and ability to pay. The mechanism adds dynamic components that reflect the Paris principle to ‘ratchet-up’ ambition; it rewards countries with ambitious mitigation targets and relieves countries with a high degree of climate vulnerability. Including developed country parties only, we find that ten countries should bear 85% of climate finance contributions (65% if all parties to the Paris Agreement are included). In both scopes, increasing climate ambition is rewarded. If the EU increased its emission reduction target from 40% to 55% by 2030, member states could reduce their climate finance contributions by up to 3.3%. The proposed mechanism allows for an inclusion of sub-, supra- or non-state actors. For example, we find a contribution of USD$3.3 billion annually for conventionally excluded emissions from international aviation and shipping.",1,True
10.1080/14693062.2021.1977599,Accelerating the speed and scale of climate finance in the post-pandemic context,Jean-Charles Hourcade,2021.0,Climate Policy,27.0,"In this paper, we examine how to trigger a wave of low-carbon investments compatible with the well-below 2°C target of the Paris Agreement in the current post-pandemic context of increasing private and public debt. We argue that one major obstacle to catalysing global excess savings at sufficient scale and speed on climate mitigation, and to ‘greening’ economic recovery packages, lies in the up-front risks of low-carbon investment. We then explain why public guarantees should be the preferred risk-sharing instrument to overcome that obstacle. We outline the basic principles of a multilateral sovereign guarantee mechanism able to maximize the leverage effect of public funds and massively redirect global savings towards low-carbon investments, with the double benefit of bridging the infrastructure investment gap in developing countries and reducing tension between developed and developing countries around accelerated funding for low-carbon transitions. We carry out numerical simulations demonstrating how the use of guarantees from AAA-rated sovereigns, calibrated on an agreed-upon ‘social value of carbon’, is compatible with public-budget constraints of developed countries. In summary, the use of such guarantee mechanisms provides a new form of ‘where flexibility’, which could turn real-world heterogeneity into a source of reciprocal gains for both developed and developing countries, and contribute to meeting the USD 100 billion + pledge of the Paris Agreement.Key Policy Insights Catalysing excess world savings through low-carbon investments (LCIs) would secure a safer and fairer economic recovery from the COVID-19 crisis and avoid locking developing countries into carbon-intensive pathways.Public policy instruments focused on the creation of public guarantees can reduce the up-front financial risks associated with LCIs, mobilize private money and increase the leverage of public finance.A multi-sovereign guarantee mechanism would yield financial support from developed to developing countries in cash grant equivalent and equity inflows two to four times higher than the ‘USD 100 billion and more’ commitment of the Paris Agreement, and provide greater confidence in meeting this commitment equitably and effectively with benefits for all.",1,True
10.18235/0001336,2017 Joint Report on Multilateral Development Banks' Climate Finance,Inter American Development Bank,2018.0,,26.0,"The Joint Report on Multilateral Development Banks’ Climate Finance is an annual collaborative effort to make public MDB climate finance figures for developing and emerging economies, together with a clear explanation of the methodologies for tracking this finance. This 2017 edition was prepared by the European Bank for Reconstruction and Development, together with partners the African Development Bank, the Asian Development Bank, the European Investment Bank, the Inter-American Development Bank Group, the Islamic Development Bank and the World Bank Group. The Islamic Development Bank joined the MDBs’ climate finance tracking groups in October 2017.",1,True
10.21201/2018.2388,Climate Finance Shadow Report 2018: Assessing progress towards the $100 billion commitment,Tracy Carty,2018.0,,25.0,"Climate finance efforts by developed countries are at a critical juncture. There are only two years before the deadline by which developed countries have committed to jointly mobilize $100bn per year to support climate action in developing countries. This $100bn commitment has a pivotal role to play in supporting developing countries to reduce their emissions and adapt to the impacts of climate change. This year will also see governments at the 24th Conference of Parties (COP24) in Katowice agree new rules to govern how climate finance is accounted under the Paris Agreement - rules that will shape the quality and transparency of climate finance provision for many years to come.This briefing paper offers an assessment of progress towards the $100bn goal. The second in a series, it looks at the latest donor figures for 2015-16, with a strong focus on public finance. It considers how close we are to the $100bn goal; where the money is coming from; where it is going; what it is being spent on; and how donors are counting the money they report.",3,True
10.46830/writn.20.00145,A Breakdown of Developed Countries’ Public Climate Finance Contributions Towards the $100 Billion Goal,Joe Thwaites,2021.0,,24.0,"In 2009, as part of the Copenhagen Accord, developed countries committed to collectively mobilizing $100 billion annually in climate finance by 2020 to support developing countries in reducing emissions and adapting to climate change. This commitment is foundational to the “grand bargain” behind the Paris Agreement: that all countries would commit to more ambitious climate action but developing countries would require enhanced support from developed countries to do so. The $100 billion is a collective commitment by developed countries, and meeting it will require them all to do their part. Over the past decade, there have been several assessments of aggregate progress towards the goal, but until now, no data set has attempted to comprehensively break down each country’s full public financial contribution. This technical note aims to fill this gap, increasing transparency and accountability around progress towards the $100 billion commitment by breaking down how much each developed country has contributed in public climate finance between 2013 and 2018, the most recent year for which comprehensive data are available. The individual breakdowns are then used to assess how countries’ efforts compare using a variety of metrics. The methodology for breaking down and analyzing individual country contributions can be applied to future climate finance data. To improve accountability of countries’ contributions towards the $100 billion commitment, this technical note identified several methodological barriers that need to be addressed in future climate finance reporting efforts.",1,True
10.1080/00139151003761579,Copenhagen and the Governance of Adaptation,Diana Liverman,2010.0,Environment Science and Policy for Sustainable Development,23.0,"Click to increase image sizeClick to decrease image size Notes 1. M. Parry, N. Arnell, R. Tiffin, T. Wheeler, P. Berry, D. Dodman, D. Satterthwaite, S. Fankhauser, C. Hope, S. Kovats, R. Nicholls. Assessing the Costs of Adaptation to Climate Change: A Review of the UNFCCC and Other Recent Estimates (London: International Institute for Environment and Development and Grantham Institute for Climate Change, 2009). 2. Oxfam, ""Suffering the Science"" Oxfam Briefing Paper, No. 103, 6 July (2009). 3. World Bank, ""The Costs to Developing Countries of Adapting to Climate Change,"" The Global Report of the Economics of Adaptation to Climate Change Study (Washington D.C.: World Bank Environment Department, 2009). 4. UNDP, ""Fighting Climate Change: Human Solidarity in an Unequal World,"" Human Development Report 2007/8. United Nations Development Programme (2007). 5. UNFCCC, ""Copenhagen Accord."" Document: FCCC/CP/2009/L.7, 18 December (2009) 6. UNFCCC, ""Report of the Ad Hoc Working Group on Long-term Cooperative Action under the Convention on its eighth session, held in Copenhagen from 7 to 15 December 2009,"" Document: FCCC/AWGLCA/2009/17, 5 February (2010) 7. B. Müller, ""Copenhagen 2009: Failure or final wake-up call for our leaders? Oxford Institute for Energy Studies EV49, February (2010). 8. B. Müller, ""International Adaptation Finance: The Need for an Innovative and Strategic Approach"" Oxford Institute for Energy Studies EV 42, June (2008). 9. L. Siegele, ""Adaptation Under the Copenhagen Accord,"" Foundation for International Environmental Law and Development (FIELD) Briefing Paper, February (2010). 10. T. J. Roberts, M. Stadelmann, S. Huq. ""Copenhagen's Climate Finance Promise: Six Key Questions"" IIED Briefing Paper, February (2010). 11. World Bank, ""2009 Annual Report,"" Accessed 24 February 2009, http://issuu.com/world.bank.publications/docs/9780821379462. 12. Munich Climate Insurance Initiative, ""As Pressure Mounts for an Ambitious Deal at COP15, There Is a Call for Risk Management and Insurance to Help Vulnerable Countries,"" MCII Press Release, 16 December 2009, Copenhagen. 13. B. Müller, ""The Time Is Right! Devolution Of Funding Decisions to Designated National/Regional Climate Change Funding Entities,"" Oxford Energy and Environment Comment November (2009). 14. P. Jepson, ""Governance and Accountability of Environmental NGOs,"" Environmental Science and Policy 8, no. 5 (2005): 515–524. 15. UNFCCC, ""Analysis of Progress Made in, and the Effectiveness of, the Implementation of the Framework for Capacity-Building in Developing Countries in Support of the Second Comprehensive Review of the Capacity-Building Framework,"" Subsidiary Body for Implementation, Document: FCCC/SBI/2009/4, 31 May (2009). 16. R. J. T. Klein, ""Identifying Countries That Are Particularly Vulnerable to the Adverse Effects of Climate Change: An Academic or a Political Challenge?"" Carbon & Climate Law Review (2009): 284–291. 17. B. Smit, I. Burton, R. J. T. Klein, J. Wandel. ""An Anatomy of Adaptation to Climate Change and Variability"" Climatic Change 45 (2000): 223–251. 18. M. Allen, ""Liability for Climate Change,"" Nature 421 (2003): 891–892. 19. IPCC, ""Summary for Policymakers,"" In M. L. Parry, O. F. Canziani, J. P. Palutikof, P. J. van der Linden, and C. E. Hanson, eds., Climate Change 2007: Impacts, Adaptation and Vulnerability. Contribution of Working Group II to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change, (Cambridge, UK: Cambridge University Press, 2007): 23. 20. D. M. Liverman, ""Vulnerability to Global Environmental Change,"" Chapter 26 in R. E. Kasperson, K. Dow, D. Golding, and J. X. Kasperson, eds., Understanding Global Environmental Change: The Contributions of Risk Analysis and Management (Worcester, MA: Clark University, 1990): 27–44.",1,True
10.4000/poldev.2243,The Governance of Climate Change Adaptation Finance—An Overview and Critique,Morgan Scoville-Simonds,2016.0,International development policy/Revue internationale de politique de développement,23.0,"At COP21 in Paris parties to the UNFCCC reiterated the goal of USD 100 billion annually in climate finance by 2020 and agreed to set a more ambitious target by 2025. A significant portion of these funds is intended to flow through the newly operational Green Climate Fund and will be dedicated to climate change adaptation in developing countries. Meanwhile, growing support for adaptation is already flowing through diverse channels. International debates continue, not only over the amount of adaptation finance, but also with regard to fund governance. In particular, developing countries are seeking greater country control through increased participation in high-level decision-making and ‘direct access’ to adaptation funds. This paper proposes an overview of the primary channels currently employed in the emerging adaptation finance field, with particular attention to governance characteristics relevant to international debates. This analysis suggests that while both developing-country participation in decision-making and ‘direct access’ to funds have increased in some cases, the vast majority of adaptation finance continues to flow through traditional development aid channels and does not respond to developing countries’ concerns regarding fund governance. If adaptation finance structures are not perceived as legitimate by developing countries, a global, coordinated response to climate change may be put at risk. Further, the implications, in terms of social justice and the effectiveness of adaptation, of conducting adaptation along the lines of development are currently under-represented in the literature. Given the goal of mobilising, for adaptation and mitigation in developing countries, USD 100 billion per year by 2020, there is an urgent need for empirical research in this domain.",2,True
10.21201/2023.621500,Climate Finance Shadow Report 2023,Bertram Zagema,2023.0,,22.0,"<html> <head> <title></title> </head> <body> In 2009, high-income countries committed in the Copenhagen Accords to mobilize US$100 billion a year by 2020 in climate finance for low- and middle-income countries. Oxfam reported on the progress of this commitment in <a href=""https://policy-practice.oxfam.org/resources/climate-finance-shadow-report-2016-lifting-the-lid-on-progress-towards-the-100-620138/"">2016</a>, <a href=""https://policy-practice.oxfam.org/resources/climate-finance-shadow-report-2018-assessing-progress-towards-the-100-billion-c-620467/"">2018</a> and <a href=""https://policy-practice.oxfam.org/resources/climate-finance-shadow-report-2020-assessing-progress-towards-the-100-billion-c-621066/"">2020</a>. This year’s report finds that high-income countries have not only failed to deliver on their commitment, but also – as in previous years – generous accounting practices have allowed them to overstate the level of support they have actually provided. Moreover, much of the finance has been provided as loans, which means that it risks increasing the debt burden of the countries it is supposed to help. This paper calls on high-income countries to accelerate the mobilization and provision of climate finance, and to make up the shortfall from previous years, in a way that is equitable and just. High-income countries must provide finance that is transparent, with genuine accountability mechanisms, and that allows for far more local ownership and responsiveness to the needs of communities it is intended to reach. People on the frontlines of the climate crisis must have the funding they were promised for adaptation and mitigation, and to address the loss and damage they are already experiencing as a result of climate impacts. </body> </html>",2,True
10.1787/5k44xwtk9tvk-en,Tracking Climate Finance,Christa Clapp,2012.0,OECD/IEA climate change expert group papers,21.0,"This series is designed to make available to a wider readership selected papers on climate change issues that have been prepared for the OECD/IEA Climate Change Expert Group (CCXG). The CCXG (formerly called the Annex I Expert Group) is a group of government delegates from OECD and other industrialised countries. The aim of the group is to promote dialogue and enhance understanding on technical issues in the international climate change negotiations. CCXG papers are developed in consultation with experts from a wide range of developed and developing countries, including those participating in CCXG Global Forums.",2,True
10.4337/9781784715656.00005,Introduction to the Handbook of International Climate Finance: is climate finance a meteoric fashion or a stable pillar of the global response to anthropogenic climate change?,Axel Michaelowa,2022.0,Edward Elgar Publishing eBooks,19.0,"The concept of international climate finance channelled from developed to developing countries has been developed over the last decade, but its roots date back to the early 1990s. Despite the high relevance of the topic in the international climate negotiations, illustrated by the (missed) target to mobilise USD 100 billion by 2020, there is no book that provide an overview accessible to practitioners and the interested public alike. The Handbook of International Climate Finance closes this gap by bringing together experts and practitioners who have been working on international climate finance, looking how the international community can learn from the past to achieve a brighter future. On the basis of the definition of international climate finance as transboundary flows of finance triggered by public interventions for mitigation and adaptation, our contributors assess past approaches to international climate finance like fast start finance, discuss effectiveness of different channels for climate finance like the Green Climate Fund, debate challenges encountered and elucidate national strategies of donors and recipients, such as Switzerland and Rwanda. The role of different interest groups is discussed throughout chapters. An important section of the Handbook elaborates perspectives for international climate finance through multilateral channels, from the private sector, and blending of different sources of finance, including international carbon markets.",2,True
10.1787/5f1f4182-en,Climate Finance and the USD 100 Billion Goal,OECD,2021.0,Climate finance and the USD 100 billion goal,19.0,"ContextAt the 15th Conference of Parties (COP15) of the UNFCCC in Copenhagen in 2009, developed countries committed to a collective goal of mobilising USD 100 billion per year by 2020 for climate action in developing countries, in the context of meaningful mitigation actions and transparency on implementation (UNFCCC, 2009[1]).The goal was formalised in the Cancun Agreements adopted at COP16 (UNFCCC, 2010[2]).At COP21 in Paris, the annual USD 100 billion goal was extended to 2025 (UNFCCC, 2015[3]).Since 2015, at the request of donor countries, the OECD has produced analyses of progress towards this goal1.These analyses are based on best-available data and a robust accounting framework, consistent with the outcome of COP24 agreed to by all Parties to the Paris Agreement as regards the funding sources and financial instruments related to reporting of information on financial resources provided and mobilised through public interventions (UNFCCC, 2019[4]).OECD figures capture four distinct components of climate finance provided and mobilised by developed countries: (i) Bilateral public climate finance provided by developed countries' bilateral agencies and development banks; (ii) Multilateral public climate finance provided by multilateral development banks and multilateral climate funds, attributed to developed countries; (iii) Climate-related officially supported export credits, provided by developed countries' official export credit agencies, and (iv) Private finance mobilised by bilateral and multilateral public climate finance, attributed to developed countries.As such, the climate finance figures presented in this report do not capture all finance for climate action in developing countries.Due to the geographical scope of the USD 100 billion goal, the figures include neither developing countries' domestic public climate finance, nor bilateral public climate finance between developing countries (so-called South-South cooperation), or multilateral and mobilised private climate finance attributable to developing countries.Further, the figures do not include either private finance catalysed by public policy interventions, for which there is no measurement methodology, or private finance invested in the absence of public interventions.",1,True
10.5167/uzh-42151,Baseline for trust: defining ‘new and additional’ climate funding,Martin Stadelmann,2010.0,Zurich Open Repository and Archive (University of Zurich),18.0,"Climate finance is becoming a dark curve on the road from Copenhagen to Cancún. Poorer nations fear that richer ones will fulfil the US$30 billion ‘fast-start’ climate finance promises made in the non-binding Copenhagen Accord by relabelling or diverting basic development aid, or by simply delivering on past climate finance pledges. The problem is simple: contributor countries are operating with no clear baseline against which their promise of ‘new and additional’ funding can be counted – and they do not accept the baselines put forth by developing countries. A viable solution for the short term is to use projections of business-as-usual development assistance as baselines. The longer-term benchmark could be the provision of truly ‘new’ funds from new funding sources. Substantial up-front negotiations may be required, but seizing this opportunity to define baselines will build confidence on both sides and create predictability for future finance.",2,True
,Getting to $100 Billion: Climate Finance Scenarios and Projections to 2020,Michael Westphal,2015.0,,17.0,"At Copenhagen in 2009, developed country Parties to the United Nations Framework Convention on Climate Change (UNFCCC) committed to a goal of mobilizing jointly $100 billion a year by 2020 from public and private sources to support climate action in developing countries. More than five years later, the sources, instruments, and channels that should count toward that goal remain ambiguous. As the Parties negotiate a new agreement for the post-2020 period, progress in meeting earlier climate finance commitments is needed to promote trust and confidence in a future climate regime.",2,True
10.1016/b978-0-12-814447-3.00004-5,Decoding the Current Global Climate Finance Architecture,Alastair Marke,2018.0,Elsevier eBooks,17.0,"To keep the planet on the 2°C trajectory, developing countries alone will require US$500 billion annually by 2030 to adequately mitigate their carbon emissions, in addition to several hundred billion additional dollars for adaptation needs. The US$100 billion a year pledged by developed countries through the Green Climate Fund is such insufficient that most of the climate finance required will have to come from the private sector. As a scene-setting chapter, it will delineate the scale of climate investment required, the state of climate finance post-Paris Agreement, climate mitigation and adaptation investment trends, global climate finance landscape, specific hurdles against climate investment, and the problems with climate finance tracking and monitoring. The lack of trust and transparency in the global climate finance landscape provides an excellent ground on which to deploy Blockchain technology to turbo-boost global climate finance flows. This chapter will initiate the discussion on how Blockchain as a “trust machine” could address the many deeply-rooted institutional problems.",2,True
10.1596/30351,Mobilizing Private Climate Finance—Green Bonds and Beyond,Flavia Rosembuj,2016.0,"International Finance Corporation, Washington, DC eBooks",17.0,"The international market for green bonds and securities that raise capital for specific climate or environmental sustainability purposes has experienced tremendous growth and could reach an annual market value of over 100 billion US dollars this year. As part of this growth, new market tools, skills, and capital have been introduced into the green bond market to reduce greenhouse gas emissions and more broadly address the problem of climate change. The rapid growth of the international green bond market is demonstrating how capital market mechanisms can enlist private capital to address global climate change and channel private sector funds to developed and emerging economies. As the Paris Climate Agreement is implemented it is critical to remember that the push to reduce emissions and switch to clean energy sources will also necessarily include the greening of the global financial system.",2,True
10.1016/s2542-5196(21)00295-3,Climate finance and peace—tackling the climate and humanitarian crisis,Peter Läderach,2021.0,The Lancet Planetary Health,17.0,"2021's Conference of Parties, the 26th UN Climate Change Conference of Parties (COP26), is crucially important as governments—for the first time since the Paris Agreement—are expected to agree on concrete commitments and greater ambitions to limit global warming to 1·5°C. COP26 President-Designate Alok Sharma stated that delivery of US$100 billion in climate finance is going to be the key to whether the goals of COP26 succeed or fail. At the same time, people worldwide have started acknowledging the impacts of the climate crisis on peace and security—otherwise called the climate security nexus.1Läderach P Pacillo G Thornton P Osorio D Smith D Food systems for peace and security in a climate crisis.Lancet Planet Health. 2021; 5: e249-e250Summary Full Text Full Text PDF PubMed Scopus (2) Google Scholar, 2African UnionCommunique of the 984th meeting of the PSC held at the level of Heads of State and Government on 9 March 2021 on the theme: “Sustainable Peace in Africa: Climate Change and its Effects on Peace and Security in the Continent.https://reliefweb.int/report/world/communique-984th-meeting-psc-held-level-heads-state-and-government-9-march-2021-themeDate: 2021Date accessed: September 10, 2021Google Scholar The concern then becomes where and how objectives and investments in adaptation and peacebuilding can be aligned, and how trade-offs between climate finance, peace, and security can be minimised or avoided. An overlay of adaptation potential and the Global Peace Index (appendix pp 1–7) shows that most of the low-income countries in tropical areas experience a combination of peacebuilding and adaptation challenges, and, only in very few countries, one or the other priority dominates clearly (figure). In other words, most of the low-income countries in tropical areas are exposed and vulnerable to climate change, and these countries are also prone to fragility due to insecurity and conflict. Globally, 355 million households (about 1·3 billion people) are exposed to climate hazards and are, thus, in need of climate change adaptation; 40% of those (142 million households, or 527 million people) are in conflict-prone and fragile-prone areas. Furthermore, the number of households exposed to climate hazards is about six times greater in conflict-prone areas compared with more peaceful areas. The greatest opportunities to align adaptation and peacebuilding objectives and finance exist in Syria, Iraq, Iran, Pakistan, Turkey, Brazil, Colombia, Mexico, Nigeria, Ethiopia, Philippines, Myanmar, and India. These countries have Global Peace Index values ranging from 2·4 to 3·4, and the number of climate-exposed households are in the range of 2·1 million to 11·4 million, with the exception of India, which has 79 million climate-exposed households. Besides these countries, Afghanistan, Yemen, Somalia, Democratic Republic of the Congo, Sudan, Niger, Zimbabwe, and Chad also show substantial opportunities to address both climate adaptation and peacebuilding, with Global Peace Index values above 2·4, but these countries have a lower number of potential beneficiaries, ranging from 1 million to 2 million households per country (appendix pp 2–6). Despite opportunities for action, climate finance has yet to be leveraged in a way that maximises synergies between climate adaptation and peace and produces the optimum co-benefits. Currently, adaptation investments insufficiently target countries at substantial risk of climate-driven instability and conflict. Notably, only two out of the top ten global recipients of adaptation finance—Niger and Ethiopia—are highly exposed to climate hazards and marked by low levels of peacefulness. The Green Climate Fund, the main climate funder to developing countries, has recently taken measures to address this imbalance and has approved four new projects to implement climate action in fragile states. This measure brings the total number of Green Climate Fund adaptation projects in fragile and conflict-affected contexts to 12 out of 63 projects globally.3Climate Funds UpdateData dashboard.https://climatefundsupdate.org/data-dashboard/Date: 2021Date accessed: September 10, 2021Google Scholar Although a growing focus is being given to fragile and crisis settings, climate funding still supports siloed responses and solutions that are not conflict-sensitive and context-sensitive.4Peters K Dupar M Opitz-Stapleton S et al.Climate change, conflict and fragility: an evidence review and recommendations for research and action. Report. ODI, London2020Google Scholar Conflict prevention and peacebuilding objectives are rarely featured in adaptation programming and, currently, very few projects promote integrated approaches to climate and conflict risks.5Mosello B Rüttinger L Linking adaptation and peacebuilding—lessons learned and the way forward.https://climate-security-expert-network.org/sites/climate-security-expert-network.com/files/documents/linking_adaptation_and_peacebuilding_lessons_learned_and_the_way_forward.pdfDate: 2020Date accessed: November 20, 2021Google Scholar If designed and implemented without consideration for conflict situations, adaptation strategies can inadvertently reinforce existing conflict dynamics or create new ones.6Tänzler D Maas A Carius A Climate change adaptation and peace.Wiley Interdiscip Rev Clim. 2010; 1: 741-750Crossref Scopus (22) Google Scholar Adaption measures that do not consider conflict situations can indirectly increase conflict potential by affecting economic performances, undermining political stability, or fostering social inequalities and grievances.7Dabelko GD Herzer L Null S Parker M Sticklor R Backdraft: the conflict potential of climate change adaptation and mitigation. Woodrow Wilson International Center for Scholars, Washington, DC2013Google Scholar For instance, the Salma Dam project in Afghanistan has intensified group marginalisation and resource competition in the Zinda Jan district by restricting access to the shared water supply.8Krampe F Smith E S Hamidi M D Security implications of climate development in conflict-affected states implications of local-level effects of rural hydropower development on farmers in Herat.Polit Geogr. 2021; 90102454Crossref Scopus (2) Google Scholar These adaptation strategies ultimately result in negative feedback that precludes development and sustainable peace under a changing climate. Adaptation can therefore increase the risk and severity of conflict, and related socioeconomic costs can hinder adaptation efforts. However, a conflict-sensitive approach to adaptation might avoid an outbreak or a relapse of conflict and even facilitate building and sustaining peace, especially at the local level.9Babcicky P 2013. A conflict-sensitive approach to climate change adaptation.Peace Rev. 2013; 25: 480-488Crossref Scopus (6) Google Scholar The project by the Food and Agriculture Organization of the UN in Abyei, South Sudan, is an example of a conflict-sensitive approach to adaptation. The provision of community-based animal health services to both the Dinka Ngok and the Misseriya communities increased dialogue and trust between these conflicting ethnic groups, thereby reducing resource-related conflicts and facilitating peace.10Food and Agriculture Organization of the United Nations2017. Linking community-based animal health services with natural resource conflict mitigation in the Abyei Administrative Area. Food and Agriculture Organization of the United Nations, Rome2017Google Scholar Thus, to prevent harmful impacts of adaptation, climate finance and adaptation programming should at a minimum apply the principle of do no harm, which includes promoting resilience and livelihood-based solutions without creating further tensions and conflicts. Public finance actors, such as the Green Climate Fund, the Global Environmental Facility, and the Adaptation Fund, can and should directly contribute to peace and stability and address drivers of conflict, reinforce peace drivers, and where possible contribute to sustaining peace. At a minimum, conflict prevention and peacebuilding objectives must be included in the environmental and social safeguards. A more proactive peacebuilding approach would be to increase funds to tackle national and transboundary natural resource management issues that are at the root cause of conflict, while, for example, also delivering technologies that increase water use-efficiency at the local level. It is also crucial to ease entry barriers for fragile and conflict-affected countries, which are often automatically excluded from most common climate funds due to the scarcity of historical data to support their applications. At policy level, guidelines are needed to align adaptation and peacebuilding efforts from the Intergovernmental Panel on Climate Change, the United Nations Framework Convention on Climate Change National Communications, and National Adaptation Plans. CGIAR and other academic institutions must actively support finance actors to mainstream climate security analysis and programming guidelines into daily operations. We declare no competing interests. Editorial note: the Lancet Group takes a neutral position with respect to territorial claims in published maps and institutional affiliations. Download .pdf (.28 MB) Help with pdf files Supplementary appendix",1,True
